"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nfia",0,-2.97112646794476,0.197,0.811,0
"Tle4",0,-3.78960027870444,0.082,0.637,0
"Id2",0,-2.10624404605801,0.437,0.949,0
"Arx",0,5.80537783687759,0.489,0.015,0
"Dlx1",0,5.82922398539795,0.439,0.016,0
"Dlx5",0,5.73732158734082,0.415,0.012,0
"Nfix",2.66645226071947e-288,-1.16191398115575,0.526,0.952,5.03746161095123e-284
"Tcf4",3.28122280176458e-280,1.01719176981469,0.985,0.864,6.19888611709364e-276
"Dlx2",1.02348332871876e-272,5.83239108976568,0.356,0.012,1.93356470461548e-268
"Fezf2",4.20762515391592e-175,-4.14209676328662,0.031,0.319,7.94904544077797e-171
"Tbr1",8.11375950514108e-175,-2.78329093576717,0.099,0.416,1.53285144571125e-170
"Zbtb18",7.24686483878765e-158,-1.13611155394923,0.393,0.748,1.36907770534376e-153
"Bend6",2.5049035597261e-109,-1.16118416812123,0.381,0.634,4.73226380503454e-105
"Cbfa2t3",2.64831795863941e-109,2.64716616235774,0.266,0.06,5.00320228746158e-105
"Tcf12",2.79199198428526e-104,2.42549026355115,0.297,0.086,5.2746312567117e-100
"Npm1",1.79828438494138e-95,0.63305194992757,0.901,0.792,3.39731886003126e-91
"H3f3b",1.8781489872815e-94,0.40650752591316,0.998,0.999,3.54819906677221e-90
"Thra",1.7468444135547e-89,-0.462301956759326,0.928,0.977,3.30013846608754e-85
"Cited2",1.11639518311237e-87,2.08327034926378,0.287,0.093,2.10909377993588e-83
"Meg3",2.82587678691171e-78,-0.290302696747059,0.981,0.997,5.3386464258336e-74
"Actg1",1.09152438548001e-68,0.321705574588131,0.999,0.996,2.06210786904884e-64
"Mycn",7.27946854837573e-67,1.608074982731,0.328,0.149,1.37523719815914e-62
"Prkcb",5.47444664514119e-66,-1.76521731228119,0.126,0.302,1.03423246020007e-61
"Jun",3.19175500952245e-65,1.26866984933395,0.458,0.261,6.02986356398981e-61
"Nrip1",1.03962575483568e-49,1.49711304449869,0.275,0.128,1.96406097603557e-45
"Hnrnpa2b1",1.60453251337274e-46,0.429873332194319,0.906,0.862,3.03128282426377e-42
"Hmgb1",3.74128707023247e-45,-0.37059922188731,0.867,0.933,7.06803953308317e-41
"Foxp1",1.2310045616497e-44,-0.553079625405516,0.337,0.528,2.32561381786862e-40
"Gpx4",3.06111988601e-41,-0.343105296754558,0.843,0.927,5.7830676886501e-37
"Nap1l5",3.21740222817404e-41,1.00998129955759,0.375,0.225,6.07831628946639e-37
"Tmpo",1.82666082844927e-40,1.1705547171689,0.308,0.168,3.45092763710636e-36
"Hmgn3",1.75271976700842e-39,-0.624668569490701,0.469,0.62,3.31123818383231e-35
"Cux1",2.67686494308616e-38,0.894727908634562,0.387,0.242,5.05713325047837e-34
"Hnrnpk",3.50561500059042e-36,0.440601966735549,0.888,0.836,6.62280785911542e-32
"Ybx1",2.0092767502098e-35,0.422069708962114,0.847,0.783,3.79592563649635e-31
"Sap30",1.12504206796946e-34,1.2218274538754,0.27,0.147,2.1254294748079e-30
"Hmgn1",2.16584500310496e-34,0.486539786243082,0.831,0.754,4.0917143798659e-30
"Smarcd3",7.34845347567807e-34,-0.596278250401033,0.438,0.582,1.3882698306251e-29
"Enc1",1.16424469655488e-33,-0.625963753436623,0.394,0.54,2.19949108073148e-29
"Satb1",1.22506503892978e-33,0.954992771033028,0.486,0.378,2.31439287154613e-29
"Apbb1",1.06957091471178e-31,-0.575776075005809,0.475,0.601,2.0206333720735e-27
"Maged1",2.73356406648233e-31,0.528740203419149,0.71,0.604,5.16424923439842e-27
"Prmt1",4.20262334004253e-30,0.440669661114549,0.754,0.661,7.93959601400835e-26
"Coprs",1.85331130010005e-27,0.801026136529916,0.38,0.258,3.50127570814901e-23
"Bmyc",1.2492335110169e-24,-0.450372870762388,0.528,0.64,2.36005194901312e-20
"Kat6b",4.87282426261463e-24,-0.724083792111103,0.209,0.323,9.20573959693156e-20
"Hdac2",7.99509696942042e-24,0.417090926778217,0.723,0.637,1.51043371946291e-19
"Bcl7a",3.06263294135454e-23,-0.553363187551737,0.348,0.467,5.785926152807e-19
"Plcb1",3.09761684525707e-23,0.753517198580149,0.481,0.38,5.85201774405965e-19
"Sfr1",1.72310929064117e-22,-0.389231069239055,0.583,0.694,3.2552980718793e-18
"Dpf1",7.52868893502312e-22,0.578469934509886,0.474,0.363,1.42231991360457e-17
"Ddx5",2.92922838824847e-21,0.365810837712949,0.882,0.845,5.53389827107901e-17
"App",1.69515280362823e-20,0.507049148484064,0.551,0.45,3.20248267661446e-16
"Ctnnb1",2.99780927265478e-20,-0.479683663785975,0.379,0.489,5.6634612778994e-16
"Ran",7.44448102626675e-19,0.284731964483414,0.859,0.805,1.40641135548232e-14
"Slf1",2.93853726289611e-18,-0.691802368396746,0.173,0.267,5.55148459706332e-14
"Tcp1",9.79950852004947e-18,0.375393978138423,0.667,0.583,1.85132314960775e-13
