"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccnd2",0,6.70865629299239,0.946,0.047,0
"Hes5",0,8.49191721233904,0.741,0.014,0
"Mef2c",0,-2.34310895589826,0.305,0.98,0
"Sox9",0,7.19363986473061,0.681,0.011,0
"Meg3",0,-3.21505992344781,0.354,0.997,0
"Fos",0,5.88868945589258,0.626,0.042,0
"Sox2",0,6.91236796840911,0.511,0.009,0
"Hmgb2",3.71082776292829e-303,4.56212442170376,0.585,0.075,7.01049580972412e-299
"Thra",7.02033346406814e-299,-1.90172559361177,0.569,0.977,1.32628139803175e-294
"Basp1",5.65073137710224e-274,-2.44383678820355,0.262,0.908,1.06753617176215e-269
"Ptma",4.88741541954076e-257,-1.04767184071028,0.982,1,9.2333052105964e-253
"Nfix",2.01756266872971e-221,-1.59241202501661,0.604,0.952,3.81157939376417e-217
"Prdx1",1.31094122641246e-207,1.68056121802141,0.928,0.681,2.47663016493842e-203
"Bcl11a",4.09042138954173e-204,-2.14611471410151,0.273,0.829,7.72762408912223e-200
"Tle4",3.30542353427242e-175,-3.40487050864524,0.081,0.637,6.24460614094746e-171
"Bend6",5.39873436873392e-171,-3.27630571462851,0.098,0.634,1.01992889694121e-166
"Zbtb18",9.56742048174969e-152,-2.01861475313868,0.26,0.748,1.80747707741215e-147
"Jun",3.47379891296656e-151,2.31009381195762,0.654,0.261,6.56270090637642e-147
"Chd3",2.80053126701085e-144,-2.06092299233995,0.247,0.72,5.29076366963689e-140
"Id2",1.59717790139305e-135,-1.29644673061623,0.751,0.949,3.01738849131174e-131
"Zeb2",6.78147212993265e-135,-1.62571054176165,0.384,0.805,1.28115571478688e-130
"Actl6b",6.07004575601278e-119,-2.70619073589717,0.118,0.55,1.14675304422593e-114
"Hmgn1",2.21532186318383e-116,1.06384461226654,0.91,0.754,4.1851860639269e-112
"Usp22",1.94677081043648e-94,-1.73725179907482,0.224,0.61,3.67783941507659e-90
"Enc1",3.37730801066057e-94,-2.12366538646744,0.156,0.54,6.38041029373995e-90
"Ppp3ca",8.16307901698362e-80,-1.10984258907698,0.479,0.792,1.54216888788855e-75
"Ndn",3.60825743391508e-79,-1.23610074853712,0.57,0.808,6.81671994415236e-75
"Smarcd3",3.28216411695221e-77,-1.62129348769939,0.228,0.582,6.20066444974612e-73
"Mkrn1",3.33665155944054e-74,-1.35248124983688,0.298,0.639,6.30360212609507e-70
"Rtf1",2.40953500143048e-72,-1.13577463165727,0.423,0.728,4.55209352470247e-68
"Aldoa",7.18672649437367e-72,1.09866578694904,0.756,0.556,1.35771636931707e-67
"Smarca2",1.05130663858815e-68,-1.46279766022163,0.264,0.591,1.98612850162073e-64
"Bmyc",2.19862235853734e-66,-1.22639485207248,0.314,0.64,4.15363735974874e-62
"Hmgn3",1.09152834449101e-64,1.01802322080475,0.786,0.62,2.06211534841241e-60
"Nedd4",1.79294323648055e-62,1.05653012398641,0.701,0.503,3.38722836235905e-58
"Apbb1",4.08119126427758e-62,-1.29403107646921,0.287,0.601,7.71018653647321e-58
"Nucks1",4.16212760874473e-61,-1.12713034891662,0.353,0.662,7.86309147844054e-57
"H1f0",1.47078719726688e-55,1.32709140494876,0.617,0.425,2.77861117307659e-51
"Foxp1",3.44309658367535e-52,-1.20627268971772,0.23,0.528,6.50469806587947e-48
"Sirt2",6.0711917270656e-41,1.19122058988346,0.507,0.321,1.14696954107723e-36
